feature_idx,feature_name,pearson_r,pearson_p,pearson_abs,spearman_r,spearman_p,spearman_abs,feature_mean,feature_std,feature_min,feature_max
96,feature_96,-0.44215428829193115,0.0268923505418732,0.44215428829193115,-0.4088521738508174,0.04242999893549479,0.4088521738508174,-0.7631784081459045,2.4782063961029053,-5.392607688903809,3.736299753189087
84,feature_84,-0.44015783071517944,0.027671046776127133,0.44015783071517944,-0.3764286939129383,0.06364272464186763,0.3764286939129383,4.704986095428467,3.129103422164917,-4.231750011444092,11.555822372436523
182,feature_182,-0.4391615688800812,0.028066352352127875,0.4391615688800812,-0.41596952310547386,0.03862516412242137,0.41596952310547386,-3.073923110961914,2.6652042865753174,-7.054386615753174,3.414368152618408
53,feature_53,-0.4277765452861786,0.03291421465115487,0.4277765452861786,-0.393826658757654,0.051430919581298,0.393826658757654,-0.13538965582847595,1.8808778524398804,-4.842581272125244,2.9670779705047607
226,feature_226,-0.42632630467414856,0.03357697787926928,0.42632630467414856,-0.42308687236013026,0.035095863273559874,0.42308687236013026,-3.5980069637298584,1.3485430479049683,-6.0354743003845215,-1.0341123342514038
290,feature_290,0.42572832107543945,0.03385333770883769,0.42572832107543945,0.30604601795022507,0.13678856693587063,0.30604601795022507,5.044009685516357,2.6334121227264404,-1.1734226942062378,8.970211029052734
132,feature_132,-0.42344051599502563,0.03492743738199191,0.42344051599502563,-0.48951546540359,0.01300535272243304,0.48951546540359,0.7330804467201233,2.9986395835876465,-4.93263053894043,6.087518692016602
165,feature_165,-0.4223472774028778,0.03545019153439051,0.4223472774028778,-0.35112256322971563,0.08524756807907793,0.35112256322971563,0.16919074952602386,2.193453073501587,-2.8921737670898438,4.994110107421875
307,feature_307,-0.42164134979248047,0.03579103929912599,0.42164134979248047,-0.3930358421738033,0.05194295488353539,0.3930358421738033,-5.5220770835876465,1.9072914123535156,-8.88545036315918,-2.138955593109131
86,feature_86,0.4200321435928345,0.03657776737349813,0.4200321435928345,0.4088521738508174,0.04242999893549479,0.4088521738508174,-0.7318709492683411,2.860996961593628,-9.496095657348633,4.341044902801514
263,feature_263,-0.41936299204826355,0.036908927007634984,0.41936299204826355,-0.4120154401862203,0.04070404535184482,0.4120154401862203,0.2554590702056885,2.061093330383301,-4.801548957824707,4.225217342376709
168,feature_168,0.41835296154022217,0.037413290297277565,0.41835296154022217,0.3851276763352961,0.05728480877110592,0.3851276763352961,-2.9960014820098877,2.105091094970703,-9.350605964660645,-0.0049025509506464005
13,feature_13,-0.41775548458099365,0.03771420803956186,0.41775548458099365,-0.44285728695639803,0.026622391140775817,0.44285728695639803,-1.7995437383651733,3.2164740562438965,-9.095121383666992,3.205195188522339
339,feature_339,0.4166596829891205,0.03827109331080694,0.4166596829891205,0.3732654275775355,0.06608478813475153,0.3732654275775355,7.590700626373291,2.976349115371704,1.4718762636184692,12.993597030639648
162,feature_162,0.41524893045425415,0.03899761253313519,0.41524893045425415,0.35744909590052126,0.07939073959764607,0.35744909590052126,5.026240348815918,3.0429513454437256,-1.7987089157104492,10.591828346252441
151,feature_151,-0.4140075445175171,0.03964590613766245,0.4140075445175171,-0.4420664703725473,0.02692622787869147,0.4420664703725473,2.78126859664917,2.0433452129364014,-1.9979801177978516,7.090909957885742
158,feature_158,-0.41270706057548523,0.04033418004249541,0.41270706057548523,-0.45788280204956155,0.021355025945246457,0.45788280204956155,0.9782119989395142,1.2753405570983887,-1.9258008003234863,3.118199348449707
183,feature_183,0.41260474920272827,0.040388726086148775,0.41260474920272827,0.2783674375154502,0.1778541627389389,0.2783674375154502,1.5559791326522827,2.2137067317962646,-2.4043521881103516,5.935488700866699
337,feature_337,0.41146954894065857,0.04099786614053759,0.41146954894065857,0.3898725758384004,0.054030974089282764,0.3898725758384004,1.33642578125,1.9966154098510742,-2.245107412338257,6.252643585205078
190,feature_190,0.4112388491630554,0.041122540702958836,0.4112388491630554,0.3969899250930568,0.04942206455640344,0.3969899250930568,-5.941454887390137,2.501664876937866,-10.035679817199707,-0.24261948466300964
211,feature_211,-0.4106871485710144,0.04142190488268712,0.4106871485710144,-0.41834197285702596,0.03741880746599627,0.41834197285702596,0.06487175077199936,2.9994699954986572,-5.341670036315918,7.743436813354492
206,feature_206,-0.4101247191429138,0.04172885954839835,0.4101247191429138,-0.3693113446582819,0.06923788734945203,0.3693113446582819,0.21061821281909943,2.46431827545166,-5.082987308502197,5.134396553039551
251,feature_251,-0.40888044238090515,0.04241432345688388,0.40888044238090515,-0.3092092842856279,0.13257281754936553,0.3092092842856279,-1.981143593788147,1.3698440790176392,-4.148983001708984,1.129551649093628
215,feature_215,0.40753820538520813,0.043163678063897065,0.40753820538520813,0.5559440584470497,0.003907126307642351,0.5559440584470497,1.607469081878662,2.408616542816162,-4.937283039093018,6.3426899909973145
346,feature_346,0.40645158290863037,0.04377793499337431,0.40645158290863037,0.4610460683849643,0.020362076552988488,0.4610460683849643,-1.159125566482544,2.1757047176361084,-4.8740129470825195,2.596116304397583
231,feature_231,-0.40612348914146423,0.043964749704354815,0.40612348914146423,-0.36772971149058054,0.07053090254951767,0.36772971149058054,1.5700374841690063,1.9412695169448853,-2.123373031616211,4.534730434417725
8,feature_8,-0.4005337357521057,0.04724501448713963,0.4005337357521057,-0.317117450124135,0.12244544184434049,0.317117450124135,0.5170497298240662,2.007835865020752,-3.053633451461792,5.023107528686523
21,feature_21,0.3960622251033783,0.05000473471574603,0.3960622251033783,0.37563787732908754,0.06424661769212986,0.37563787732908754,3.483302593231201,1.9609873294830322,0.15827739238739014,6.564682960510254
30,feature_30,-0.39599594473838806,0.05004656876755809,0.39599594473838806,-0.40331645776386255,0.0455888322684154,0.40331645776386255,-5.396409511566162,1.9678412675857544,-8.934706687927246,-1.1037875413894653
6,feature_6,0.3950842320919037,0.05062479381972448,0.3950842320919037,0.3961991085092061,0.04991842481176858,0.3961991085092061,6.473388671875,3.3232369422912598,-0.24453741312026978,12.744656562805176
