n_features,cluster,method,split,percent_rmse,rmse,mae,r2
90,0,XGB,train,0.6197013631932653,1.2123709777142306,0.9957576394081116,0.9993703961372375
90,0,MLP,test,101.46083741826664,220.42961426212676,216.47482299804688,-27.422069549560547
90,0,MLP,train,102.54075234379101,200.60861498512472,194.69960021972656,-16.238540649414062
90,1,NNLS,test,24.25059879183566,29.31582161311002,19.62898599456256,0.8646125807327159
90,1,NNLS,train,22.650789355361393,36.35275077867282,27.667355360940917,0.8033798072067658
90,1,LINEAR,test,29.513527859821657,35.67801873013428,23.100505828857422,0.7994717359542847
90,1,LINEAR,train,18.229651299927504,29.257168926499876,23.555355072021484,0.8726443648338318
90,1,XGB,test,30.035893749669647,36.309491188814874,26.77030372619629,0.7923105359077454
90,1,XGB,train,1.7398245641753878,2.7922827671835817,1.9268094301223755,0.9988399744033813
90,1,MLP,test,119.05839378305411,143.92612172786772,120.56526184082031,-2.263272762298584
90,1,MLP,train,111.72368982581149,179.30781080484195,159.89727783203125,-3.7835683822631836
100,0,NNLS,test,14.445341771191403,31.38335140465773,27.023901962013138,0.4238780457242336
100,0,NNLS,train,21.64580085094939,42.34739876292438,35.63896593231925,0.23183440808717226
100,0,LINEAR,test,15.775131896878602,34.272398370103346,28.314453125,0.31292396783828735
100,0,LINEAR,train,11.856619112984562,23.196045321448384,18.77708625793457,0.7695221304893494
100,0,XGB,test,14.357212958196852,31.19188639462943,22.87021255493164,0.4308862090110779
100,0,XGB,train,0.06013469032361559,0.11764626904563928,0.09702281653881073,0.9999940991401672
100,0,MLP,test,58.26862711803581,126.59200659130299,109.81037902832031,-8.37407398223877
100,0,MLP,train,39.76148048437243,77.78854111568265,63.47358322143555,-1.5919857025146484
100,1,NNLS,test,24.583904025965836,29.718744314951334,19.50848908155735,0.8608654203571235
100,1,NNLS,train,22.611902865753283,36.290340994925195,27.927793936631836,0.8040543360997771
100,1,LINEAR,test,27.656771789112312,33.433441999670215,24.294231414794922,0.823909342288971
100,1,LINEAR,train,20.749382016113078,33.30114025649591,26.900114059448242,0.8350046277046204
100,1,XGB,test,38.124459265775464,46.08751546819648,33.4315185546875,0.6653885841369629
100,1,XGB,train,0.24757462375044723,0.3973379671288769,0.3480128347873688,0.9999765157699585
100,1,MLP,test,56.98724640495938,68.89017315286158,51.15740966796875,0.2523665428161621
100,1,MLP,train,28.908814122597665,46.39639257680089,36.23527908325195,0.6797257661819458
110,0,NNLS,test,12.872754016722416,27.966812364260115,23.16954545872113,0.5424888075008276
110,0,NNLS,train,22.21004234611474,43.45126919760538,36.13651515054046,0.19126487399136316
110,0,LINEAR,test,15.5304213294852,33.74075032393137,27.72786521911621,0.33407503366470337
110,0,LINEAR,train,11.524702715621112,22.546690920939486,18.29926872253418,0.7822455763816833
110,0,XGB,test,13.757603486980798,29.8891996850451,23.069181442260742,0.4774301052093506
110,0,XGB,train,0.6192027604620237,1.2113955216047727,0.9722039699554443,0.9993714094161987
110,0,MLP,test,102.54631795682346,222.78788433451672,218.9079132080078,-28.033470153808594
110,0,MLP,train,103.88765974421868,203.24367686966303,197.44317626953125,-16.69438362121582
110,1,NNLS,test,22.76850909442125,27.524167825218537,20.431604345215483,0.880655457585659
110,1,NNLS,train,22.609585557629686,36.28662189607292,27.52772772343592,0.8040944957638853
110,1,LINEAR,test,27.67201705670333,33.451871546461156,24.333059310913086,0.8237151503562927
110,1,LINEAR,train,20.58081725555991,33.03060695920906,26.65448570251465,0.8376744985580444
110,1,XGB,test,33.3366880408287,40.299722417817286,30.01789665222168,0.7441542148590088
110,1,XGB,train,1.99479047897108,3.2014831801232853,2.5743765830993652,0.9984750747680664
110,1,MLP,test,120.74586119262906,145.96605047278973,123.78543853759766,-2.3564319610595703
110,1,MLP,train,113.056170023184,181.44633762492975,162.50946044921875,-3.8983516693115234
120,0,NNLS,test,14.246252930977295,30.95081923393085,25.427861197495623,0.4396490876442377
120,0,NNLS,train,21.946126915487874,42.934950487228136,35.470151037120864,0.21037060706579458
120,0,LINEAR,test,15.555066042024224,33.794292405948525,27.83188819885254,0.33195990324020386
120,0,LINEAR,train,11.332709184534707,22.171078732838744,17.967065811157227,0.789440393447876
