n_features,method,split,percent_rmse,rmse,mae,r2
110,XGB,train,8.047854038801708,14.065247127505883,12.047119140625,0.9622247815132141
120,NNLS,test,17.296293895742306,30.713814181373362,23.861964809392862,0.8392641717728714
120,NNLS,train,23.663523537843,41.35677720577443,32.5860405878227,0.6734077480982538
120,LINEAR,test,21.25124999590716,37.73680925119316,31.039403915405273,0.7573526501655579
120,LINEAR,train,21.83654333180007,38.16376103386562,30.873937606811523,0.7218911647796631
120,XGB,test,24.23885604932764,43.042036933204905,31.997583389282227,0.6843317747116089
120,XGB,train,4.436470139255979,7.753625821440331,6.672246932983398,0.9885205030441284
130,NNLS,test,17.267087562218386,30.661951169205555,23.82955766809076,0.8398065469998854
130,NNLS,train,23.838885821292553,41.66325814363311,33.12740668983232,0.6685492852891772
130,LINEAR,test,21.08294373512013,37.437940184181805,30.739652633666992,0.7611808776855469
130,LINEAR,train,21.79904846076808,38.098231188948425,30.83030891418457,0.7228453755378723
130,XGB,test,22.485445172666648,39.92842564896201,30.39447021484375,0.7283501029014587
130,XGB,train,0.06785094770191658,0.11858320772987468,0.09827355295419693,0.9999973177909851
140,NNLS,test,16.189540411158138,28.748501781213854,21.727659030116282,0.8591763422619065
140,NNLS,train,22.80726464417478,39.86029219417976,31.87561498111914,0.6966154526319494
140,LINEAR,test,21.168929728905855,37.59062941641008,30.767431259155273,0.7592288851737976
140,LINEAR,train,21.691589455532853,37.91042491693825,30.66771697998047,0.7255711555480957
140,XGB,test,26.20520739295899,46.53377627040788,34.37743377685547,0.6310379505157471
140,XGB,train,8.166284886596314,14.272228905967559,11.852566719055176,0.9611048102378845
150,NNLS,test,15.382036087910103,27.31457970031067,20.27146282719983,0.8728740439814505
150,NNLS,train,22.753866699966448,39.76696852332666,31.571317084385743,0.6980343993558624
150,LINEAR,test,21.098601532225846,37.46574444523874,30.751996994018555,0.760826051235199
150,LINEAR,train,21.63699489876957,37.81500992444584,30.593360900878906,0.7269507646560669
150,XGB,test,25.205464160713536,44.758486832719086,33.539730072021484,0.6586531400680542
150,XGB,train,7.906083601690551,13.81747471218511,11.420527458190918,0.9635439515113831
160,NNLS,test,16.516167821765045,29.328508900449563,22.83486691373809,0.8534367272057122
160,NNLS,train,23.368143930366458,40.84054180245418,32.626430127420335,0.6815102275504085
160,LINEAR,test,21.168184508016846,37.58930609385052,30.74616241455078,0.7592458724975586
160,LINEAR,train,21.535509950915273,37.63764452189125,30.50783348083496,0.7295061349868774
160,XGB,test,25.712912922874082,45.65958663372348,33.31778335571289,0.6447703838348389
160,XGB,train,5.225508584186036,9.132629549333071,7.608694553375244,0.9840741157531738
170,NNLS,test,15.712853563337914,27.90202730784364,21.107239867984692,0.8673471129765695
170,NNLS,train,22.993264009821594,40.185363577279965,32.3907682882983,0.6916469101589879
170,LINEAR,test,20.945398756175543,37.19369532164944,30.394685745239258,0.7642868161201477
170,LINEAR,train,21.469541717630904,37.52235173710215,30.363632202148438,0.7311607599258423
170,XGB,test,24.758431160247156,43.96467004213795,31.94801902770996,0.6706537008285522
170,XGB,train,0.8220422338364475,1.4366845015342973,1.2136244773864746,0.9996058940887451
180,NNLS,test,16.601208573761067,29.479519623925594,23.79503345913857,0.8519235506775193
180,NNLS,train,23.4706862131327,41.01975511089293,33.081965211870695,0.6787089504336606
180,LINEAR,test,20.95665987083925,37.21369219412057,30.45308494567871,0.764033317565918
180,LINEAR,train,21.449499375225102,37.48732370384104,30.35069465637207,0.7316625118255615
180,XGB,test,25.08090387505061,44.537299479446155,33.09270477294922,0.6620185375213623
180,XGB,train,0.8760980290030498,1.5311578995390784,1.2467224597930908,0.999552309513092
190,NNLS,test,17.481951859183592,31.043495454413684,24.350160580345484,0.8357949837822207
190,NNLS,train,23.662647237709887,41.355245694657214,33.28000918206862,0.6734319361727183
190,LINEAR,test,21.000683567486643,37.291867070574185,30.483688354492188,0.7630409002304077
190,LINEAR,train,21.425930049675223,37.44613155660659,30.29852867126465,0.7322518825531006
190,XGB,test,27.567939300678262,48.95364117586148,34.51313400268555,0.5916663408279419
190,XGB,train,5.178806602864016,9.051008423319686,7.538350582122803,0.984357476234436
200,NNLS,test,17.3058424948687,30.730770062270636,25.130983782204815,0.8390866510103367
200,NNLS,train,23.888369257940337,41.74974042348233,33.32866156304502,0.6671718431518338
200,LINEAR,test,20.88333508029728,37.083486035207606,30.345504760742188,0.7656816244125366
200,LINEAR,train,21.40492269126862,37.40941696336716,30.28611946105957,0.7327766418457031
200,XGB,test,24.349115339254205,43.23782935920018,32.01983642578125,0.6814534664154053
200,XGB,train,5.103624939708074,8.919613312691824,7.48234224319458,0.9848083853721619
210,NNLS,test,16.26623043782605,28.88468374266992,23.576792940455928,0.8578390159257864
210,NNLS,train,23.570063135064768,41.19343631323659,32.75352499246637,0.6759824421280154
210,LINEAR,test,20.855984701726587,37.03491872649547,30.27667999267578,0.7662950158119202
210,LINEAR,train,21.35139298883692,37.31586301846039,30.198165893554688,0.7341115474700928
210,XGB,test,26.456106060546748,46.97930842319707,34.62154006958008,0.6239389181137085
210,XGB,train,7.9725809941905865,13.933692309365465,11.49450969696045,0.9629281163215637
220,NNLS,test,16.796131027492972,29.82565227290728,24.67890618147469,0.8484258686731383
220,NNLS,train,23.83664322411163,41.659338753022254,33.73735278897788,0.6686116435286732
220,LINEAR,test,20.67286302257704,36.70974124859861,30.003576278686523,0.770380973815918
220,LINEAR,train,21.246290687348147,37.13217556128462,30.09479331970215,0.7367227673530579
220,XGB,test,26.83524570197492,47.65256389432918,35.31778335571289,0.6130831241607666
220,XGB,train,8.96510390729226,15.668326161468189,13.10792064666748,0.9531232118606567
230,NNLS,test,16.488664368092568,29.27966976933082,23.953446866415234,0.8539244480777958
230,NNLS,train,24.06859427957223,42.06471997648999,34.00886110027259,0.6621308765929432
230,LINEAR,test,20.48979381947639,36.384656954803766,29.63854217529297,0.7744297981262207
230,LINEAR,train,21.20830347711594,37.06578525437492,30.06142234802246,0.7376633882522583
230,XGB,test,25.026258613125318,44.44026340739612,32.57174301147461,0.6634896397590637
230,XGB,train,3.6408495602519375,6.3631184875017315,5.4388861656188965,0.9922686815261841
240,NNLS,test,15.931193105792524,28.289742744215108,23.119335730205165,0.8636349161740703
240,NNLS,train,23.929823172181916,41.82218949442709,34.03120461840302,0.6660157155955023
240,LINEAR,test,20.466393210328228,36.34310343094254,29.5489501953125,0.7749447226524353
240,LINEAR,train,21.186704967762722,37.028037505698805,30.010366439819336,0.7381974458694458
240,XGB,test,25.23712693185477,44.81471185266619,32.407142639160156,0.6577949523925781
240,XGB,train,5.262017041142352,9.196435436822918,7.734943389892578,0.9838507771492004
250,NNLS,test,15.890760490225194,28.217944713441156,23.242407973961605,0.864326214101374
250,NNLS,train,24.187164562638706,42.27194544619503,35.153400158396494,0.6587937547864945
250,LINEAR,test,20.294283165306876,36.037479811605515,29.266626358032227,0.7787139415740967
250,LINEAR,train,21.05048795713972,36.7899708225625,29.842666625976562,0.7415530681610107
250,XGB,test,25.273958365155252,44.8801151006246,33.96366882324219,0.6567953824996948
250,XGB,train,3.842488653049092,6.715523446275108,5.7095770835876465,0.9913886189460754
260,NNLS,test,15.693082147653206,27.86691830755125,22.422100473681006,0.8676807360542956
260,NNLS,train,24.22932669366489,42.34563226872516,34.61394185665046,0.6576031628984045
260,LINEAR,test,20.305817677489678,36.057962168461316,29.186113357543945,0.7784623503684998
260,LINEAR,train,21.001908785074203,36.70506892734214,29.76894187927246,0.7427445650100708
